No,Nama Perusahaan,Detail,Jenis Barang,Wilayah Pemasaran
1405,INTERPRIMA INDOCOMPerseroan Terbatas (PT)Email :info@interprima.co.id,Merek Barang :OBOStatus :Agen Tunggal,Lightning Protecting System & Equipment.,Indonesia
1406,ARLISCO ELEKTRIKA PERKASAPerseroan Terbatas (PT)Email :info@arlisco.co.id,Merek Barang :SieyuanStatus :Agen Tunggal,"70 kV, 150kV, and 275 kV SF6 Circuit Breaker, Disconnecting Switch, CT, VT, SSVT",PT PLN di Seluruh Indonesia
1407,INDIMEX SELO ANTIGENIPerseroan Terbatas (PT)Email :isag_brick@yahoo.com,Merek Barang :John CraneStatus :Distributor,"Mechanical Seals, Dry Gas Seals, Support Systems, Metastream, Coupling and Filtration System",PT. PETROKIMIA GRESIK
1408,ERINDO MEGAH PRIMAPerseroan Terbatas (PT)Email :emp@centrin.net.id,Merek Barang :JAKOB ESCHBACHStatus :Agen,SYNTHETIC HOSES,Indonesia
1409,IMECO INTER SARANAPerseroan Terbatas (PT)Email :imeco@imeco.co.id,Merek Barang :PARKERStatus :Distributor,"Enviromental Services-Gas Turbine Inlet System Produstc : 1. Combustion and/ or Ventilation Air Filter House : Balance of Supply (Incl. dutcwork, steelwork, acoustic silencing equipment, enclosures ventilation systems, exhausts, power augmentation systems, anti-ice systems and other ancillaries); 2. After-Market Spare Parts; 3. Filter Elements","Indonesia Region (PowerGen, Oil & Gas & LNG Sector)"
1410,ERA MITRA PERDANAPerseroan Terbatas (PT)Email :sales@eramitra.co.id,Merek Barang :KRUSSStatus :Distributor,"DSA100 series, DSA30 series, DSA25 series, DSAHT, TVA100, K100 series, Tensíío, K20, K6, BP100, SDT, DVT50, DFA100 series, FT, MSA, Ayríís, BPT Mobile, DSA100HP, HPFA, accessories, and spare parts",DI SELURUH INDONESIA
1411,BAHANA KARYA MANDIRIPerseroan Terbatas (PT)Email :bahana@bahanakm.co.id,Merek Barang :KobarFlareStatus :Agen,Flare System Package dan Vent System Package,di wilayah negara Republik Indonesia
1412,MULTIKARYA ASIA PASIFIK RAYAPerseroan Terbatas (PT)Email :legal@mkapr.co.id,Merek Barang :CUMMINS.Status :Sub Distributor,"Engine Diesel, Gas Engine, Generating Sets and spare parts",Pertamina Group
1413,TRIGUNA SOLUSI ENERGIPerseroan Terbatas (PT)Email :finance@ts-energi.com,Merek Barang :Raychem PyrotenaxStatus :Distributor,Electrical Heat Tracing Cables components & accessories industrial fire-rated wiring solutions,Indonesia
1414,SYNTEK OTOMASI INDONESIAPerseroan Terbatas (PT)Email :info@syntek.co.id,Merek Barang :SAE ITStatus :Distributor Tunggal,"RTU beserta CPU programable, Power supply 48VDC,  Ethernet switch, Channel interface serial RS-485, Channel interface serial RS-232, Rak RTU, Memory card 1 GB, RTU beserta CPU programable, 8 Channel Digital Input, Coverter V24 to RS485, Memory card 1 GB",Indonesia
1415,REKAGAS INOVASI UNGGULPerseroan Terbatas (PT)Email :arionaldi@rekagas.com,Merek Barang :WELLDONEStatus :Agen,"1.1 Dispenser Bahan Bakar ; 1.2 Spare parts Dispenser Bahan  Bakar ; 1.3 Seri Pompa : 1.3.1 Submersible Turbine Pump for  Fuel, 1.3.2 Transfer Pump for Fuel ; 1.4 Seri Pengukur Aliran  WDTCS Series & WD-FMC Series.",Di Seluruh Wilayah Indonesia
1416,KURNIA MULIA CITRA LESTARIPerseroan Terbatas (PT)Email :binari@ptkmcl.com,Merek Barang :FRANKLIN ELECTRICStatus :Distributor,"SUBMERSIBLE TYPE ELECTRIC MOTOR & ACCESSORIES, SSI SUBMERSIBLE PUMP , ELECTRIC CONTROL & PROTECTION DEVICE",Di Seluruh Wilayah Indonesia
1417,PETROPROPerseroan Terbatas (PT)Email :admintender@petropro.co.id,Merek Barang :DECISION FRAMEWORKSStatus :Agen Tunggal,Service For SOFTWARE PRODUCTS.,Indonesia
1418,SAMUDRA JATI LUHURPerseroan Terbatas (PT)Email :ptsamudrajatiluhur@gmail.com,Merek Barang :AVON PROTECTION SYSTEMStatus :Distributor Tunggal,"- Full Face Mask /CBRN/Gas Mask CBRN/Full Face Mask/Smoke Full Face Mask/ Gas Mask/Air Purifying CBRN/Air Purifying Respirator : M50, FM54, C50, FM12, FM100, FM150, TGM,PC55, Entry Level Mask PC50, HMK150, C55, IND55, IDN50, Combat Vehicle all FM51, Warfighter Mask M50, Mission Mask FM53, M53; - Power Air Purifying Respirator : STPAPR, MPPAPR, CSPAPR; - Tactical Breathing Apparatus : ST53, IND53; - Self Contained Breathing Apparatus : Deltair, Vikingzseven; - Emergency Escape Hood : NH15 Combo, NH15 Compact; - Respiratory Escape Device - CBRN Suit Interfaces; - Tactical Hood; - Tactical CBRN Protection Suit; - Tactical Protection Oversuit; - Protection Set; - Tactical Respirator Optimized Integration; Passive Protection Defense Set; - Respirator Smoke Full Face Protection Mask - Breaching Module : Advance Entry Torch System; - Filters; - All spares and accessories associated with the above product range.",INDONESIA
1419,SIMENTEKNINDOPerseroan Terbatas (PT)Email :admin@simenteknindo.com,Merek Barang :SiemensStatus :Distributor,"Low Voltage motors (IN LVM),High Voltage Motors (INHVM), Medium Voltage Drives  and Systems (in MVD),",Indonesia
1420,ZADA ESHAN AMANAHPerseroan Terbatas (PT)Email :eshanamanahzada@gmail.com,Merek Barang :ECHOBOXStatus :Distributor Tunggal,Multi Formation Microphone Observer; Single Array Directional; Portable Directional Microphone,INDONESIA
1421,KARYA NIREKO WARGA NUSAPerseroan Terbatas (PT)Email :sales.office@knwn.co.id,Merek Barang :PROSAVEStatus :Distributor,"Air Release Valve, Air/Vacuum Valve, Combination Air Release and Air/Vacuum Valve, Vacuum Breaker Valve, Surge Relief Valve, Flame Arrester, Breather Valve, Emergency Vent Cover",Wilayah seluruh Indonesia
1422,SMB SYNERGYPerseroan Terbatas (PT)Email :corporate@smb-s.com,Merek Barang :-Status :Agen,"Casing,Tubing and Accessories,Drilling Tools,Threadman/Threadlock Premium-Semi Premium Connection,API 5CT Connection",Indonesia
1423,POWERTEK INDO ASIAPerseroan Terbatas (PT)Email :sales.support@powertek-indoasia.com,Merek Barang :WEGStatus :Agen,1) Low Voltage Induction Motors (IEC & NEMA Standard) & Variable Frequency Drives; 2) High Voltage Induction Motors (IEC & NEMA Standard) & Variable Frequency Drives; 3) Gearmotors and Gearboxes; 4) Steam Turbine Generators - Pulp & Paper Industry,Sinarmas - Asia Pulp & Paper (APP) - *MRO; PT. Bukit Muria Jaya; PT. Fajar Surya Wisesa Tbk; PT. Kilang Pertamina International - MRO; PT. Supreme Energy; PT. Medco Power Indonesia; PT. Star Energy Geothermal Indonesia (SEGI); PT. Pertamina Geothermal Energy Tbk (PGE); PLN Nusantara Power (NP) - MRO; PLN Indonesia Power (IP) - MRO; PLN Suku Cadang (SC) - MRO; PT. Agincourt Resources; PT. Ceria Group; PT. Freeport Indonesia
1424,SIMENTEKNINDOPerseroan Terbatas (PT)Email :admin@simenteknindo.com,Merek Barang :SiemensStatus :Distributor,"FA AS, MC GM DGMC, MC GMC CAB, PA AE",DI SELURUH INDONESIA
1425,ADHI DHARMA TAMAPERKASAPerseroan Terbatas (PT)Email :adt@adti.co.id,"Merek Barang :CHINA RAILWAY BAOJI BRIDGE GROUP CO., LTD (CRBBG)Status :Agen Tunggal",Railway Turnout,PT. Kereta Api Indonesia (PT. KAI) dan Direktorat Jendral Perkeretaapian ( DJKA)
1426,CONTROMATIC PRIMA MANDIRIPerseroan Terbatas (PT)Email :cpm@contromatic.co.id,Merek Barang :WEGStatus :Agen,Medium and Low Contact Electric Motors; Medium and Low Contact Variable Frequency Drives; Gearboxes; Gearmotors,PT PLN Nusantara Power (PLN-NP); PT PLN Indonesia Power (PLN-IP); PT PLN Suku Cadang (PLN-SC)
1427,DATASCRIPPerseroan Terbatas (PT)Email :info_dts@datascrip.co.id,Merek Barang :JisuLifeStatus :Distributor,Kipas Angin Kipas Angin Jinjing (portable fan),Indonesia
1428,MEGA PRATAMA MEDICALINDOPerseroan Terbatas (PT)Email :info@geamedical.com,Merek Barang :GEAStatus :Distributor Tunggal,"BR 2015, BR-9015B, EB 1622, EB 1623, EB 1653, EB 5636, EB 9063, EF 981, ER-7210, ER 7220 (Red), HT721",Di seluruh wilayah Indonesia
1429,SEKAWAN ABADI NUSANTARAPerseroan Terbatas (PT)Email :sekawanabadinusantara86@gmail.com,Merek Barang :-Status :Agen Tunggal,"BORGOL TACTICAL, TYPE: SET WITH CUTTER, SPESIFIKASI : NYLON",INDONESIA
1430,KANMO GAYA ABADIPerseroan Terbatas (PT)Email :nauli.dewi@kanmogroup.com,Merek Barang :COACHStatus :Distributor Tunggal,"Tas Tangan, Tas, Aksesoris, dompet dan produk produk lainnya yang bermerek coach",Republik Indonesia
1431,SMB SYNERGYPerseroan Terbatas (PT)Email :corporate@smb-s.com,Merek Barang :-Status :Agen,"Casing,Tubing and Accessories,Drilling Tools,Threadman/Threadlock Premium-Semi Premium Connection,API 5CT Connection",Indonesia
1432,SABERINDO PACIFICPerseroan Terbatas (PT)Email :purchasing@saberindo.co.id,Merek Barang :GODIVAStatus :Distributor,"PORTABLE PUMPS, VEHICLES MOUNTED PUMPS, CAFS, TRAILER & SKID MOUNTED PUMPS, PUMP KITS AND MODULES, ACCESSORIES AND SPARES FOR ABOVE",AREA INDONESIA
1433,PETROPROPerseroan Terbatas (PT)Email :admintender@petropro.co.id,Merek Barang :CegalStatus :Agen Tunggal,Services for Blueback Geology Toolbox; Blueback geophysics Toolbox; Blueback Resevoir Engineering Toolbox; Blueback Project Management Toolbox; Blueback Wells Toolbox; Blueback Investigator; Blueback Rocks Velocity; Blueback Rocks QI; Blueback Seismic Reservoir Characterization; Blueback Rock Physics; Blueback Project Tracker; Blueback Project Tracker – Spatial Extention; Blueback Project Tracker – Data Exchange; Blueback Project Tracker – Studio Repository Extention; Blueback Project Tracker – Parallel Tracking; Blueback Project Tracker Services; Cegal Data Assessments; Blueback System Center; Blueback ODiSI; Blueback Avary; Blueback Seismic Data Management; Blueback Database Toolbox; Cegal Pyhton Toolbox; Cegal Prizm; Cegal Hub; Cetegra High Performance Desktop on Microsoft Azure; Cetegra High Performance Computing on Microsoft Azure.,Indonesia
1434,OCEANIC GLOBAL INDONESIAPerseroan Terbatas (PT)Email :info@oceanicglobal.id,"Merek Barang :MMI Micro Motion; Rosemount - Cargo Monitoring System; Rosemount - Custody Transfer System; Damcos - Valve Remote Control System; LevelDatic LD Series, MAS2600 & Rosemount 520Status :Distributor","Flow Meters For Marine Bunkering or Fuel Monitoring; Tank Radar, Monitoring system and Accessories for Marine Custody Transfer Management; Tank Gauge, Monitoring System and Accessories for Marine Custody Transfer Management; Valve, Valve Actuators, Control and Monitoring System and Accessories for Marine Aplication; Pressure Transmitter for Marine Electronic Tank level Gauging Application.",Indonesia
1435,KAWAN LAMA SEJAHTERAPerseroan Terbatas (PT)Email :perizinan.kls@kawanlamaretail.com,"Merek Barang :NILFISK, VIPER, DEN-SINStatus :Distributor Tunggal","Cleaning Equipment and Accessories, Pressure Washers and Consumer Products",Indonesia
1436,ENERGI PERSADA SEJAHTERAPerseroan Terbatas (PT)Email :Lsetyawati@energipersadasejahtera.com,Merek Barang :WAUKESHAStatus :Agen Tunggal,GENUINE PARTS,PT Perta Daya Gas
1437,KARYA ENERGI INDONESIAPerseroan Terbatas (PT)Email :hendri@karya-energi.com,Merek Barang :HOWDENStatus :Agen,"HOWDEN PRODUCTS OF FANS AND HEATERS; FANS (CENTRIFUGAL FLOW, AXIAL FLOW AND MIXED FLOW) OF ALL HOWDEN'S BRANDS; BLOWERS (FOR POWER STATION USED EXCLUDE ROOTS); HEATERS",SURALAYA UNIT 1-7 PT. PLN INDONESIA POWER;  BANTEN I (SURALAYA UNIT 8) PT. PLN INDONESIA POWER;  BANTEN II (LABUAN) PT. PLN INDONESIA POWER;  BANTEN III (LONTAR) PT. PLN INDONESIA POWER;  JAWA BARAT II (PELABUHAN RATU) PT. PLN INDONESIA POWER;  JAWA TENGAH II (ADIPALA) PT. PLN INDONESIA POWER;  PANGKALAN SUSU PT. PLN INDONESIA POWER;  BARRU PT. PLN INDONESIA POWER;  JERANJANG PT. PLN INDONESIA POWER;  TANJUNG JATI B UNIT 1-2 PT. TJB POWER SERVICE;  TANJUNG JATI B UNIT 3-4 PT. KOMIPO PEMBANGKITAN JAWA BALI; TANJUNG JATI B UNIT 5-6 PT. BHUMI JEPARA SERVICE;  TENAYAN UNIT 1-2 PT. PLN NUSANTARA POWER;  INDRAMAYU UNIT 1-3 PT. PLN NUSANTARA POWER;  BATANG UNIT 1-2 PT. BHIMASENA POWER INDONESIA;  CIREBON I AND EXPANSION PT. CIREBON ELECTRIC POWER
1438,ENERGI CONSULTING INDONESIAPerseroan Terbatas (PT)Email :admintender@pteci.com,Merek Barang :GeotricStatus :Agen Tunggal,Services For Software.,indonesia
1439,TRIKARYA ABADI PRIMAPerseroan Terbatas (PT)Email :trikarya@trikaryagroup.com,Merek Barang :TESCOMStatus :Distributor,UPS DAN RELATED POWER PROTECTION PRODUCTS.,INDONESIA
1440,SPEKTRAKROM INDONESIAPerseroan Terbatas (PT)Email :ski@spektrakrom.co.id,Merek Barang :LABTECHStatus :Distributor Tunggal,"Rotary Evaporator, Hotplate, Water Chiller, Vacuum Pump, Digiblock, Gas Generator, Liquid Nitrogen Generator, Nitrogen Concentrator, Xelsius",Seluruh Indonesia
1441,ENERGI PERSADA SEJAHTERAPerseroan Terbatas (PT)Email :Lsetyawati@energipersadasejahtera.com,Merek Barang :WAUKESHAStatus :Agen Tunggal,GENUINE PARTS,PT Perta Daya Gas
1442,PETROPROPerseroan Terbatas (PT)Email :admintender@petropro.co.id,Merek Barang :CegalStatus :Agen Tunggal,Services for Blueback Geology Toolbox; Blueback geophysics Toolbox; Blueback Resevoir Engineering Toolbox; Blueback Project Management Toolbox; Blueback Wells Toolbox; Blueback Investigator; Blueback Rocks Velocity; Blueback Rocks QI; Blueback Seismic Reservoir Characterization; Blueback Rock Physics; Blueback Project Tracker; Blueback Project Tracker – Spatial Extention; Blueback Project Tracker – Data Exchange; Blueback Project Tracker – Studio Repository Extention; Blueback Project Tracker – Parallel Tracking; Blueback Project Tracker Services; Cegal Data Assessments; Blueback System Center; Blueback ODiSI; Blueback Avary; Blueback Seismic Data Management; Blueback Database Toolbox; Cegal Pyhton Toolbox; Cegal Prizm; Cegal Hub; Cetegra High Performance Desktop on Microsoft Azure; Cetegra High Performance Computing on Microsoft Azure.,Indonesia
1443,SPEKTRAKROM INDONESIAPerseroan Terbatas (PT)Email :ski@spektrakrom.co.id,Merek Barang :LABTECHStatus :Distributor Tunggal,"Rotary Evaporator, Hotplate, Water Chiller, Vacuum Pump, Digiblock, Gas Generator, Liquid Nitrogen Generator, Nitrogen Concentrator, Xelsius",Seluruh Indonesia
1444,DATASCRIPPerseroan Terbatas (PT)Email :info_dts@datascrip.co.id,"Merek Barang :DATASCRIP, COMPACTO, PRONTORACK, CAPRI, ERGOMATIC, LAVARO, FLEXMOStatus :Distributor","DATASCRIP Filing Cabinet, DATASCRIP  Lateral Cabinet, DATASCRIP Steel Cupboard, DATASCRIP Mobile File, DATASCRIP Rotary File, DATASCRIP Compaq file, DATASCRIP Credenza, DATASCRIP Mobile Drawer, DATASCRIP Library Rack, DATASCRIP Server Rack, DATASCRIP Cardex, DATASCRIP Datatray, DATASCRIP Locker, DATASCRIP Safe Deposit Box, DATA SCRIP Multi Filing System, DATASCRIP Racking, DATASCRIP  Mezzo  Desk, DATASCRIP Arjuna Desk, DATASCRIP Meeting Table, DATASCRIP Reception Table, DATASCRIP Meja dan Kursi Sekolah, DATASCRIP Folding/Multifunction Desk, DATASCRIP Partition /Kubikal FlexoWS, DATASCRIP Partition /Kubikal FlexoLite, DATASCRIP Partition /Kubikal  FlexoLife, DATASCRIP Auditorium/Theater/Stadium Chair, DATASCRIP Chair, COMPACTO Mobile File, COMPACTO Slide, PRONTORACK  Rak  Multifungsi, PRONTORACK Mobile File, DATASCRIP Meja Perpustakaan, DATASCRIP Meja Laboratorium, DATASCRIP Meja Tamu, DATASCRIP Dining Table, DATASCRIP Corner Table, DATASCRIP Lemari, DATASCRIP Papan Tulis (whiteboard), DATASCRIP Papan Pengumuman, DATASCRIP Tempat Tidur, DATASCRIP Tray CPU Komputer, DATASCRIP Dataplan, DATASCRIP Mobiplan, DATASCRIP Flipchart, CAPRI Chair, CAPRI Sofa, CAPRI Filing Cabinet, CAPRI Steel Cupboard, CAPRI Locker, LAVARO Chair, ERGOMATIC Chair, FLEXMO Meja Kerja, FLEXMO Meja Rapat, Flexmo Tempat Tidur.",Indonesia
1445,DUTA INDOMANDIRIPerseroan Terbatas (PT)Email :legal2@dutaindo.co.id,Merek Barang :SCHUFStatus :Distributor,"Bottom Outlet Valves, Control Valves, Coker Valves, Diverter Valves, Changeover Valves, In-Line Valves, Sampling Valves",INDONESIA
1446,DIELEKTRIKA PERSADA TEKNIKPerseroan Terbatas (PT)Email :dielektrika@dielektrika.com,Merek Barang :INGETEAMStatus :Distributor Tunggal,"INGEPAC range of products including : Ingepac EF range, Ingepac DA range, Ingepac RIO, Ingesas range of products including : IC3 Range , EFS SOFTWARE Tools ( including INGESYS IT SCADA system",Indonesia
1447,ERICINDO MEKANIKAPerseroan Terbatas (PT)Email :admin@ericindo.com,Merek Barang :PROTEKSINDOStatus :Agen,"Produk Kontraktual adalah produk-produk POWERINDO. Yaitu Sebagai Berikut : 1. Lightning arrester 15 - 25kV polymer, 2. Neutral grounding resistor 10-1000A, 0-36kV, 3. Pin post insulator polymer 15kV - 25kV, 4. Fuse cut out 15 -25kV, 5. EV Charging 7kw - 200kW, 6. LV Main Dsitribution Panel 400 Volt - 1200 Volt 50kA","Oil dan Gas Riau termasuk Pertamina Hulu Rokan, Pertamina Hulu Energi Siak, Pertamina Hulu Energi Kampar, Badan Operasi Bersama Pertamina Riau, Refinery Unit II Putri Tujuh Dumai, dan EP Asset 1 Jambi"
1448,CENTRAL INDUSTRIAL SUPPLIESPerseroan Terbatas (PT)Email :centris@dnet.net.id,Merek Barang :Henan XridoStatus :Agen Tunggal,"1.1. Professional Environmental Protection Equipment, 1.Single Equipment (Single-Shaft Shredder, Double-Shaft Shredder, Hydraulic Motor Shredder, Metal  Packing Machine, Scrap Crusher Pelletizer, Gantry Shearing Machine, Crocodile Shear) 2.Support System (Chain conveyor, Magnetic Sorting System, Eddy Current Sorter, Gravity Separator, Dust Removal System, Composite Crusher, RDF Briquetting Machine) 3.Huge Production Plant (Scrap Steel Hammer Shredder Recycling Plant, Radiator Crushing and Sorting, Electronic Rotor Crushing and Sorting, Copper Recycling Machine, Bulk Waste Recycling Plant, Waste Tire Recycling Equipment), 1.2. Waste Sorting and Disposal System, 1.Manual Sorting Platform, 2.Trommel Screen, 3.Air/Winnowing Separator, 4.Comprehensive Sorting Machine, 5.Hydraulic Baler Machine, 6.Household Waste Sorting Line, 7.Stale Garbage Recycling and Sorting Line, 8. Construction Waste Recycling and Sorting Line, 1.3.Paket Waste Sorting Machine and Disposal System, 1. 10 TPD Waste Sorting Machine and Disposal System, 2. 50 TPD Waste Sorting Machine and Disposal System, 3 150 TPD Waste Sorting Machine and Disposal System, 4 500 TPD Stale Garbage Recycling and Sorting Line,  1.4 Paket RDF Production Line,  1. 1-1.5 TPH RDF Production Line, 2. 2-3 TPH RDF Production Line",Indonesia
1449,SAMUDRA INSAN SEMPOERNAPerseroan Terbatas (PT)Email :samudrainsanpt@gmail.com,Merek Barang :WireOnAir AND NEX AIRStatus :Distributor Tunggal,"Covert Listener, Covert Viewer, Covert Spy Combo",INDONESIA
1450,APEX SOLUSI UTAMAPerseroan Terbatas (PT)Email :pt.baskara@lmbgroup.co.id,Merek Barang :CaterpillarStatus :Sub Distributor,"Bulldozer/ Track Type Tractor, Wheel Dozer, Motor Grader, Scraper, Road Roller, Compactor (Pneumatic Tired), Compactor, Smooth, Compactor (Padded/Landfill/Soil), Track/Wheel Loader, Skid Steer Loader (SSL), Backhoe Loader (BHL), Multi Terrain Loader, Hydraulic Excavator, Front Shovel, Material Handler (Track/Wheel), Log Loader (Forest Machine), Feller Buncher, Infregrated Tool Carrier, Telescopic Handler, Pipe Layer, Forklift Truck (electric), Forklift Truck (diesel), Asphalt Paver (diesel), Road Reclaimer, Soil Stabilizer, Cold Planner, Pavement Proviller, Agricultural Tractors, Wheel Skidder, Track Skidder (logging tracktor) Forwarder, Challanger, Tractors Head, Wheel Excavator, Asphalt Compactor, Wheel Loader, Drills, Rotary Drills, Ug Room and Pilar, Feeder Breakers, Unit Rig Trucks, Harvesters, Dump Truck (OHT/ADT GVE Exceeding >24 Tons, HARVESTING HEAD, Generator (Alternator) < 12.5 KVA, Generator (Alternator) 12.5 KVA – 75 KVA, Gnerator (Alternator) 76 KVA-150 KVA, Generator (Alternator) 151 KVA – 375 KVA, Generator (Alternator) 376 KVA – 750 KVA, Generator (Alternator) 751 KVA – 10.000 KVA, Generator Sets (Diesel) Output Not Exceeding 75 KVA, Generator Sets (Diesel) Output Exceeding 75 KVA But Not Exceeding 125 KVA, Generator Sets (Diesel) Output Not Exceeding 125 KVA, Generator Sets (Diesel) Output Not Exceeding 12.500 KVA – More, Generator Sets (Diesel) Output Not Exceeding 12.500 KVA, Engines, Sparks Ignition, Gas Engine, Power Not Exceeding 18.65 KW/25 HP, Engines, Spark Ignition, Gas Engine, Power Exceeding 22.38 KW/30 HP, Engines Compression Ignition (Diesel), Marine Engine, Power Not Exceeding 750 KW, Engines Compression Ignition (Diesel), Marine Engine Power Exceeding 750 KW, Engines Compression Ignition (Diesel), Vehichel Subheading 8701.10, Fully Assembly Cylinder Capacity Exceeding 3.500cc, Engines Compression Ignition (Diesel), Vehicle Of Chapter 87, Not Fully Assembly Cylinder Capacity Exceeding 3.500cc, Engines Compression Ignition (Diesel), Marine Engine, Power Exceeding 24.38 KW Bu Not Exceeding 60 KW, Engines Compression Ignition (Diesel), Marine Engine, Power Exceeding 100 KW, Engine Compression Ignition (Diesel), Industrial Engines, Power Exceeding 100 KW, Engine Compression Ignition (Diesel) Usd Only For Machinery Of Heading 84.29 or 84.30 Power Exceeding 100 KW, Heat Exchanger, Cooling Tower, Radiator, Silincer, Muffler, Automatic Circuit Breaker, Control Panel, Prepeller, UPS Flywheel and Spare Part.",Diseluruh Wilayah Indonesia
